restaurant,dish_name,description,price
Chic-K-Flare (Victoria),4 Pc Chicken,No description,$17.99
Chic-K-Flare (Victoria),Drumsticks (3 pcs),No description,$13.99
Chic-K-Flare (Victoria),2 Pc Chicken Combo,No description,$15.49
Chic-K-Flare (Victoria),3 Pc Chicken Combo,No description,$19.79
Chic-K-Flare (Victoria),4 Pc Chicken Combo,No description,$22.99
Chic-K-Flare (Victoria),8 Pc Chicken Combo,No description,$51.79
Chic-K-Flare (Victoria),8 Pc Chicken Nuggets,No description,$13.99
Chic-K-Flare (Victoria),4 Pc Chicken Nuggets Combo,No description,$14.99
Chic-K-Flare (Victoria),5 Pc Wings,No description,$11.79
Chic-K-Flare (Victoria),Yang Nyeom Chicken Sandwich,No description,$12.99
Chic-K-Flare (Victoria),White Onion Chicken Sandwich,No description,$12.99
Chic-K-Flare (Victoria),Volcano Chicken Sandwich,No description,$12.99
Chic-K-Flare (Victoria),Yang Nyeom Chicken Sandwich Combo,No description,$16.99
Chic-K-Flare (Victoria),White Onion Chicken Sandwich Combo,No description,$16.99
Chic-K-Flare (Victoria),Volcano Chicken Sandwich Combo,No description,$16.99
Chic-K-Flare (Victoria),Fries,No description,$5.99
Chic-K-Flare (Victoria),Mashed Potatoes,No description,$7.19
Indian Aroma,Samosa Chaat,No description,$8.79
Indian Aroma,Vegetable Samosa,No description,$6.05
Indian Aroma,Paneer Pakora,No description,$8.79
Indian Aroma,Vegetable Mix Pakora,No description,$7.69
Indian Aroma,Papadi Chaat,No description,$7.69
Indian Aroma,Aroma Special Snacks,No description,$12.09
Indian Aroma,Aloo Tikki Chaat,No description,$8.79
Indian Aroma,Onion Bhajia,No description,$7.15
Indian Aroma,Fish Pakora,No description,$10.99
Indian Aroma,Gobhi Garlic,No description,$8.79
Indian Aroma,Chicken Pakora,No description,$10.99
Indian Aroma,Prawns Pakora,No description,$13.19
Indian Aroma,Aroma Chicken Wings,No description,$10.99
Indian Aroma,Aroma Fresh Salad,No description,$7.69
Indian Aroma,Kachumber Salad,No description,$7.15
Indian Aroma,Lachha Onion Salad,No description,$3.85
Indian Aroma,Caesar Salad Vegetable,No description,$7.69
Indian Aroma,Caesar Salad Chicken,No description,$9.35
Indian Aroma,Dal Soup,No description,$4.39
Indian Aroma,Mulligtawny Soup,No description,$5.49
Momi Noodle House,H2. Sweet & Spicy Fish Hotpot Noodle 甜辣沸腾鱼吊锅粉,No description,$24.50
Momi Noodle House,A10. Pickled Cabbage Fish noodle   酸菜鱼粉,No description,$24.50
Momi Noodle House,H3.SPICY Szechuan Chicken hotpot noodleSpicy Szechuan Chicken hotpot noodle 干锅辣子鸡粉,No description,$24.50
Momi Noodle House,H6.Mix vege Mushroom Soup hotpot noodle 漓江野菌吊锅粉,No description,$24.50
