dish_id,name,description,price,restaurant_id
5,Espresso 12oz Bag,No description,$20.00,21
6,Single Origin 12oz Bag,No description,$24.00,21
7,Cafe Latte,No description,$4.85,21
8,Mocha,No description,$5.50,21
9,Americano Misto,No description,$4.05,21
10,Brewed Coffee,No description,$2.60,21
11,Cappuccino,No description,$4.85,21
12,Americano,No description,$3.00,21
13,Mylk,No description,$0.96,21
14,Traditional Macchiato,No description,$3.57,21
15,Too Hot To Handle,No description,$5.50,21
16,Africano,No description,$4.75,21
17,Cortado,No description,$4.75,21
18,Flavour Shot,No description,$0.96,21
19,Espresso,No description,$3.10,21
0,Would you like to add cutlery?,No description,Priced by add-ons,22
1,Southwest Chicken Tacos,No description,$20.69,22
2,BBQ Chicken Flatbread,No description,$21.89,22
3,Chicken & Brie Salad,No description,$22.99,22
4,Hummus & Tzatziki Dip,No description,$13.29,22
5,Chicken & Smashed Avocado Burger,No description,$25.29,22
6,Granville Island English Bay Pale Ale,No description,Sold out,22
7,Granville Island Brewing Island Lager,No description,Sold out,22
8,Red Racer Street Legal Pilsner,No description,Sold out,22
9,"Sauvignon Blanc, Jackson-Triggs (750ml)",No description,Sold out,22
10,"Pinot Grigio, Inniskillin Okanagan Estate (750ml)",No description,Sold out,22
11,"Chardonnay, Red Rooster (750ml)",No description,Sold out,22
12,"Pinot Gris, Gray Monk Estate Winery (750ml)",No description,Sold out,22
13,"Rosé, Saintly (750ml)",No description,Sold out,22
14,"Merlot, Jackson-Triggs (750ml)",No description,Sold out,22
15,"Pinot Noir, Inniskillin Okanagan Estate (750ml)",No description,Sold out,22
16,"Cabernet Sauvignon, Inniskillin (750ml)",No description,Sold out,22
17,"Cabernet Merlot, Sandhill (750ml)",No description,Sold out,22
18,Lonetree Cider,No description,Sold out,22
19,White Claw Lime,No description,Sold out,22
0,Pork Bites,No description,$10.99,23
1,Bistro Smokey Calamari,No description,$12.99,23
2,Chicken Wings,No description,$13.99,23
3,Organic Yam Fries,No description,$9.99,23
4,Pakoras,No description,$9.99,23
5,Hand Cuts Fries,No description,$7.99,23
6,Pita and Humus,No description,$10.99,23
7,Caesar Salad,No description,$11.99,23
8,Cobb Salad,No description,$15.99,23
9,Bistro Salad,No description,$10.99,23
10,Spinach Salad,No description,$14.99,23
11,BBQ Cheddar Bacon Burger,No description,$16.99,23
12,Grilled Chicken Clubhouse,No description,$16.99,23
13,Bistro Simply Grilled Burger,No description,$14.99,23
14,Buffalo Burger,No description,$16.99,23
15,Grilled Cheese,No description,$12.99,23
16,Baa-Baa-Burger,No description,$16.99,23
17,Black Bean and Quinoa Veggie Burger,No description,$14.99,23
18,The Big Wave,No description,$17.99,23
19,Grilled Chicken Burger,No description,$15.99,23
0,Car / Truck  Air Freshener,No description,$5.00,24
1,Car / Truck  Air Freshener,No description,$5.00,24
2,Dole Whip - Half Pint,No description,$8.00,24
3,Reuben Dog,No description,$11.00,24
4,Mac & Cheese Dog,No description,$9.50,24
5,The Portland,No description,$10.75,24
6,The Seattle,No description,$10.00,24
7,Meat Lovers Pizza Dog,No description,$10.50,24
8,Hawaiian Pizza Dog,No description,$9.50,24
9,Pizza Dog,No description,$9.50,24
10,All Beef Bistro Dog,No description,$9.00,24
11,Bistro Premium Veggie Dog,No description,$10.00,24
12,Chili Cheese Dog,No description,$9.75,24
13,Kids Hot Dog,No description,$6.50,24
14,Supreme Pizza Dog,No description,$10.00,24
15,Chicken Parm Dog,No description,$9.00,24
16,Classic Smokie with Cheese,No description,$11.50,24
17,Coney Island Steamer,No description,$7.00,24
18,Chili Dog,No description,$9.00,24
19,All Beef Premium Hotdog,No description,$7.00,24
0,Pineapple Express (Pork Burger),No description,$19.00,26
1,Loaded,No description,$22.00,26
2,Smashed Hash,No description,$15.00,26
3,The Wake n' Bacon,No description,$17.50,26
4,Bom Dia Acai Smoothie Bowl,No description,$17.00,26
5,The Best Dream,No description,$11.50,26
6,Sausage Party,No description,$17.50,26
7,The Pleaser (vegan friendly),No description,$15.00,26
8,Sausage Hash,No description,$20.50,26
9,The Notorious V.E.G Hash,No description,$21.00,26
10,Peanut Butter Bowl,No description,$17.00,26
11,Side Lrg Smashbrowns,No description,$8.50,26
12,B.B.L.T,No description,$16.50,26
13,The Daily Double,No description,$15.00,26
14,Club in a Bun,No description,$18.00,26
15,Easy Brie-zy,No description,$17.50,26
16,The Blue Oyster Cult,No description,$19.50,26
17,Rise & Shine Bowl,No description,$11.00,26
18,Jumbo Cookie,No description,$5.50,26
19,Morning Muffin,No description,$4.00,26
0,Vegan Breakfast Sandwich,No description,$14.00,29
1,Vegan Breakfast Burrito,No description,$16.50,29
2,Breakfast Sandwich,No description,$14.00,29
3,Hoisin Tofu Kimchi Wrap,No description,$17.20,29
4,Vegan Caesar Salad,No description,$7.00,29
5,Veggie Wrap,No description,$12.80,29
6,Vegan Burger,No description,$14.00,29
7,Green Salad,No description,$7.00,29
8,Vegan Cinnamon Bun,No description,$6.00,29
9,Vegan Brownie,No description,$5.40,29
10,Lemon Bar,No description,$5.40,29
11,Energy Balls,No description,$3.60,29
12,Latte,No description,$5.82,29
13,Lavender London Fog,No description,$6.90,29
14,Chai Latte,No description,$5.82,29
15,Moon Milk,No description,$5.82,29
16,Red Velvet Mocha,No description,$6.72,29
17,Matcha Latte,No description,$7.20,29
18,Tea Latte,No description,$5.82,29
19,Americano,No description,$4.02,29
0,Classic with Icing Sugar,No description,$14.11,30
1,PK Brown Sugar,No description,$18.48,30
2,PK Genuine Maple Syrup,No description,$18.48,30
3,PK Ginger,No description,$18.48,30
4,PK Lemon,No description,$18.48,30
5,"PK Apple, Sugar & Cinnamon",No description,$18.48,30
6,PK Banana,No description,$18.48,30
7,PK Fruit Topping,No description,$18.48,30
8,PK Chocolate Hail,No description,$18.48,30
9,PK Nutella,No description,$18.48,30
10,PK Strawberry,No description,$18.48,30
11,"#11 Banana, Strawberry, and Whip Pannekoek",No description,$22.51,30
12,#12 Mixed Fresh Fruit and Whip Pannekoek,No description,$22.51,30
13,#15 Fruit Topping Cheesecake Pannekoek,No description,$22.85,30
14,"#16 Chocolate, Strawberry, and Whip Pannekoek",No description,$22.51,30
15,#20 Peach Melba and Whip Pannekoek,No description,$22.51,30
16,"#5 Fresh Apple, Onion, and DeBakon with Stroop Pannekoek",No description,$22.51,30
17,#6 Banana and Walnut Pannekoek,No description,$25.20,30
18,Classic Pannekoek,No description,$14.11,30
19,PK Cheese,No description,$18.81,30
0,Single Slice Egg Pie,No description,$7.50,31
1,Lomi,No description,$17.95,31
2,Ben's Best Lumpia,No description,$11.95,31
3,Crispy Pork Kare-Kare,No description,$23.95,31
4,Ben's Best Pork Sisig,No description,$21.95,31
5,Pansit Bihon,No description,$18.95,31
6,Pork Lechon Paksiw,No description,$24.95,31
7,Ben's Best Crunchy Tuna Sisig,No description,$21.95,31
8,Creamy Carbonara,No description,$17.25,31
9,Beef Kaldereta,No description,$26.95,31
10,Crispy Pork Kare-Kare with plain Rice,No description,$24.95,31
11,Lechon Paksiw with Plain Rice,No description,$25.95,31
12,Bens Best Pork Sisig w/ plain rice,No description,$22.95,31
13,Tuna Sisig with Plain Rice,No description,$22.95,31
14,Bens Best Lumpia With Plain Rice,No description,$12.95,31
15,Beef Kaldereta With Plain Rice,No description,$27.95,31
16,Pinoy Chopsuey,No description,$14.95,31
17,Halo-Halo Royale,No description,$13.95,31
18,Sago Gulaman,No description,$7.95,31
19,Pork Sisig Silog,No description,$17.95,31
0,Sweet Scone,No description,$5.99,32
1,Seasonal Fruit Tart,No description,$7.00,32
2,Muffin Du Jour,No description,$4.00,32
3,Vegan Savoury Roll,No description,$5.50,32
4,Bag of Granola (500g) GF,No description,$18.00,32
5,Savoury Cornbread Muffin (GF/V),No description,$5.15,32
6,Egg Sandwich,No description,$12.00,32
7,Latte,No description,$4.75,32
8,Hazelnut Latte,No description,$5.55,32
9,Pumpkin Spice Latte,No description,$5.55,32
10,Cappuccino,No description,$4.75,32
11,White Chocolate Latte,No description,$5.55,32
12,Americano,No description,$4.25,32
13,Vanilla Latte,No description,$5.55,32
14,Eggnog Latte,No description,$5.75,32
15,Hot Chocolate,No description,$5.75,32
16,Chocolate Hug Tea Latte,No description,$5.50,32
17,Peach Tea Latte,No description,$5.75,32
18,Flat White,No description,$4.75,32
19,Espresso,No description,$4.25,32
0,Avocado Toast (GF Option),No description,$14.99,33
1,Salmon Bagel (GF option),No description,$16.99,33
2,Grilled Cheese W/ Soup,No description,$14.75,33
3,Vegan Breakfast Wrap (GF Option),No description,$16.50,33
4,Cheesy Nachos,No description,$16.50,33
5,Fish & Chips,No description,$18.99,33
6,Charcuterie,No description,$23.75,33
7,Chips,No description,$9.00,33
8,Chicken Panini,No description,$10.99,33
9,Yogurt Parfait,No description,$6.99,33
10,C.O.P Salad (GF Option),No description,$13.99,33
11,Tab Sandwich,No description,$10.99,33
12,Overnight Oat,No description,$6.99,33
13,Egg Sandwich,No description,$5.99,33
14,Brioche (Ensaimada),No description,$6.25,33
15,Banana Loaf,No description,$2.50,33
16,Vegan Caramel Apple,No description,$6.50,33
17,Gf Pastries,No description,$4.99,33
18,Pain au Chocolat,No description,$5.99,33
19,Orange Bundt,No description,$7.50,33
0,Number of Wood Cutlery Packages,No description,$0.25,34
1,Include Napkins,No description,$0.00,34
2,Jalapeno Cheddar Bagel Sandwich,No description,$9.00,34
3,Veggie Breakfast Sandwich,No description,$8.50,34
4,Breaky Sandwich,No description,$9.25,34
5,Benny Wrap,No description,$14.50,34
6,Mexican Chorizo Wrap,No description,$14.50,34
7,Bacon Wrap,No description,$13.75,34
8,Veggie Breakfast Wrap,No description,$12.50,34
9,Pesto Benny Wrap,No description,$14.50,34
10,Turkey Croissant Sandwich,No description,$10.95,34
11,Ham Croissant Sandwich,No description,$10.95,34
12,Cubano Sandwich,No description,$14.00,34
13,Turkey Bacon Melt,No description,$14.00,34
14,Chicken Caesar Salad,No description,$14.50,34
15,Turkey Bacon Guacamole Wrap,No description,$14.75,34
16,Chicken Caesar Wrap,No description,$14.50,34
17,Chicken Burrito,No description,$13.75,34
18,Beef Burrito,No description,$13.75,34
19,Chipotle Chicken Wrap,No description,$13.75,34
0,Bacon Breakfast Bagel,No description,$8.25,35
1,Egg Salad Sandwich,No description,$9.15,35
2,English Muffin Eggwich,No description,$6.95,35
3,Ham Breakfast Bagel,No description,$8.15,35
4,Butter Chicken Wrap,No description,$12.10,35
5,Lumberjack Wrap,No description,$9.20,35
6,Protein Power Wrap,No description,$9.60,35
7,Veggie Wrap,No description,$9.60,35
8,Veggie Samosa,No description,$6.60,35
9,Oat Bar,No description,$3.40,35
10,Triple Berry Crumble Bar,No description,$5.70,35
11,Date Bar,No description,$5.70,35
12,Oat Fudge Bar,No description,$5.50,35
13,Lemon Bar,No description,$5.70,35
14,Granola Bar,No description,$4.40,35
15,Chewy Marshmallow Bar,No description,$5.40,35
16,Lemon Poppy Seed Slice,No description,$7.00,35
17,Peanut Crunch Bar,No description,$6.80,35
18,Vegan Quinoa Date Bar,No description,$6.80,35
19,Turmeric Latte,No description,$6.40,35
0,6. Vermicelli & Spring Rolls,No description,$18.50,36
1,4. Subviet,No description,$12.00,36
2,2. Salad Rolls,No description,$13.50,36
3,9. Pho,No description,$18.00,36
